@relation category

@attribute Text string
@attribute category {airplane,quake,train}

@data

'2007 January 1 � Adam Air Flight 574, a Boeing 737-400 with 102 people on board, crashes into the ocean off the island of Sulawesi in Indonesia, killing all on board. ',airplane
'2009 June 1 � Air France Flight 447, an Airbus A330-200 flying from Rio de Janeiro, Brazil to Paris, France, crashes in the Atlantic Ocean killing all 228 occupants, including 12 crew; bodies and aircraft debris are not recovered until several days later. ',airplane
'1988 July 3 � Iran Air Flight 655, an Airbus A300, is shot down over Iranian waters by the missile cruiser USS Vincennes; all 290 people on board are killed. ',airplane
'2001 July 4 � Vladivostok Air Flight 352, a Tupolev Tu-154 enters a flat spin on approach to Irkutsk Airport in Irkutsk, Russia, crashes down onto its belly and bursts into flames in a wooded area killing all 145 aboard. ',airplane
'2009 August 4 � Bangkok Airways Flight 266, an ATR 72-200 carrying 68 passengers crashes in severe weather on landing at Samui airport in the resort island of Ko Samui in Thailand, resulting in at least 1 confirmed death and 37 injuries. ',airplane
'2010 November 4 - Aero Caribbean Flight 883, an ATR-72-200, crashes in Sancti Sp�ritus, Cuba killing all 68 on board in the worst ever accident involving the ATR 72. ',airplane
'2005 September 5 � Mandala Airlines Flight 091, a Boeing 737-200, crashes in Medan, Indonesia, killing 103 of the 111 passengers and all 5 crew members on the plane and an additional 47 people on the ground. ',airplane
'2010 10.04.2010 Poland 101 Russia Smolensk96/96 Crashed on final approach in thick fog on an airfield with no ILS. President Lech Kaczynski and other high ranking officials were onboard and died in the crash ',airplane
'2009 February 12 � Colgan Air Flight 3407, a Bombardier Dash 8 Q400 flying from Newark Liberty International in New Jersey to Buffalo Niagara International Airport in New York crashes into a house in Clarence, New York at 10:17 pm local time; all 49 aboard the plane are killed, with one fatality on the ground. ',airplane
'2001 November 12 � American Airlines Flight 587, an Airbus A300, crashes into a Queens neighborhood in New York City when the plane s vertical tail fin snaps just after takeoff. All 251 passengers and 9 crew members on board are killed as well as 5 people on the ground. ',airplane
'1996 November 12 � Saudi Arabian Airlines Flight 763, a Boeing 747, collides in mid-air with Air Kazakhstan Flight 1907, an Ilyushin Il-76, near Charkhi Dadri, India. All 312 on board the Boeing 747 and all 37 on board the Ilyushin Il-76 are killed. ',airplane
'2009 January 15 � US Airways Flight 1549, an Airbus A320 ditches in the Hudson River just after taking off from LaGuardia Airport in New York City after total engine failure due to multiple bird strikes, no fatalities. ',airplane
'2005 August 16 � West Caribbean Airways Flight 708, an McDonnell Douglas MD-82, crashes in western Venezuela. All on board, 152 passengers and 8 crew members, die. ',airplane
'2010 August 16 - AIRES Flight 8250, a Boeing 737-700 splits in three after being hit by lightning while landing at Gustavo Rojas Pinilla Airport, San Andr�s, Colombia. Out of the 125 passengers and 6 crew members on board, two passengers died and 113 were injured. ',airplane
